#Title: A Near-Infrared Spectral Template for Quasars 
#Authors: Glikman E., Helfand D.J., White R.L. 
#Table: Optical-to-infrared Composite Quasar Spectrum, Arithmetic and 
#       Geometric Means 
#================================================================================
#Byte-by-byte Description of file: datafile7.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units   Label  Explanations
#--------------------------------------------------------------------------------
#   1-  7 F7.1   0.1nm   Wave   Wavelength in Angstroms
#   9- 15 F7.4   ---     Flux   Arithmetic mean flux in arbitrary units 
#  17- 23 F7.4   ---   e_Flux   Error in Flux 
#  25- 31 F7.4   ---     GFlux  Geometric mean flux in arbitrary units
#--------------------------------------------------------------------------------
 7447.1  1.7755  0.0170  1.5386
 7448.8  1.7833  0.0186  1.3857
 7450.5  1.7456  0.0166  1.5000
 7452.3  1.7298  0.0153  1.6005
 7454.0  1.6846  0.0150  1.5768
 7455.7  1.8132  0.0176  1.6685
 7457.5  1.7000  0.0153  1.6517
 7459.2  1.6794  0.0155  1.4989
 7460.9  1.8877  0.0166  1.6413
 7462.7  1.7304  0.0155  1.7464
 7464.4  1.7889  0.0165  1.6762
 7466.1  1.7670  0.0167  1.6976
 7467.9  1.8377  0.0169  1.7809
 7469.6  1.8081  0.0160  1.4745
 7471.4  1.7055  0.0151  1.5665
 7473.1  1.7503  0.0164  1.5225
 7474.8  1.6393  0.0147  1.3802
 7476.6  1.7823  0.0157  1.4948
 7478.3  1.8587  0.0165  1.4682
 7480.0  1.6668  0.0129  1.5587
 7481.8  1.6651  0.0134  1.3807
 7483.5  1.6587  0.0131  1.7086
 7485.3  1.5270  0.0125  1.6044
 7487.0  1.6382  0.0142  1.5941
 7488.8  1.7968  0.0154  1.5475
 7490.5  1.7748  0.0169  1.5154
 7492.2  1.6662  0.0139  1.7560
 7494.0  1.7255  0.0154  1.6583
 7495.7  1.7613  0.0154  1.4540
 7497.5  1.6293  0.0152  1.4686
 7499.2  1.6157  0.0157  1.4375
 7501.0  1.6830  0.0159  1.4168
 7502.7  1.5822  0.0145  1.3630
 7504.5  1.6500  0.0160  1.5221
 7506.2  1.7866  0.0170  1.5964
 7507.9  1.7585  0.0156  1.6280
 7509.7  1.7439  0.0152  1.6527
 7511.4  1.7724  0.0154  1.5313
 7513.2  1.7702  0.0161  1.4606
 7514.9  1.8105  0.0170  1.6824
 7516.7  1.7710  0.0167  1.5627
 7518.4  1.7828  0.0168  1.4564
 7520.2  1.7504  0.0166  1.5356
 7521.9  1.4241  0.0137  1.5811
 7523.7  1.5951  0.0133  1.1530
 7525.4  1.6129  0.0146  1.5197
 7527.2  1.7764  0.0190  1.5427
 7528.9  1.7660  0.0181  1.3259
 7530.7  1.7326  0.0165  1.5759
 7532.4  1.7983  0.0181  1.4319
 7534.2  1.7903  0.0189  1.6395
 7535.9  1.8035  0.0186  1.6810
 7537.7  1.7016  0.0150  1.6812
